20417	1747	8700	9138	17919	8665	17531	8853	23342	4628	25148	8836	753	8664																			
12240	12444	2610	200	23455	21065	22421	23293	16938	583	23325	8878	23239	12193																			
21356	4119	835	6785	12420	19169	21945	4127	13714	2030	6232	832																					
13403	20381	21961	21174	21528	2823	23952	20200	16724	6082	2084	273	5033	17814	10605	6434	23731	14592	20615	22910													
6040	4961	16684	7988	10642	6562	7814	20581	7764	18216	12811	666	9676	24037	7763	9557	12588	19571	24103														
18876	5135	7988	6562	7814	15501	24596	17943	7764	18216	666	16264	24103	15340																			
21356	4119	2924	10379	835	13768	15504	12420	7668	4616	19169	13714	16264	6232	832	9415	3064	4658															
1677	8968	17497	12444	2610	25779	2500	3079	17531	848	20327	583	10724	3405	8878	26011																	
22210	24325	835	12914	12568	12444	2610	4333	10629	13274	20138	19602	583	8878																			
15369	15370	4644	16368	25087	545	4006																										
3591	12852	4186	18095	7817	21412	8035	22273	4919	6483	19106	21386	12154	15129	22290	2897																	
26058	12444	2610	25779	3079	848	20327	20416	583	8878	11631	584																					
21356	18114	4119	13625	26214	19169	8834	2030	6232	12943	14377																						
15725	10385	6656	2130	18116	19382	19978	19819	16721	2806	20611	6587	7945	7643	16625	3098	17859	25526	18045	4009	18662	18189	20816										
21356	15056	4119	835	15143	6785	12420	14015	19169	11558	25147	21945	4127	3010	13714	2030	6232	832	9676														
2458	1947	8243	4586	2130	19978	14363	20892	2538	11656	12692	4903	9284	12641	18045	16161	14703	19604	18189	14635	20816												
24176	14725	12444	2610	14429	25834	14740	23506	22181	1452	23562	583	14754	25199	8878	23578	2719																
24233	21607	13500	13766	752	25763	6694																										
19643	2130	19978	2822	21435	13219	1997	19498	8442	14255	19882	7406	7392	18045	18189	20816																	
5505	25858	6946	24470	14427	9616	16592	7823	8415	9728	14432	2438	20838																				
21607	13500	9807	15647	5626	752	25763	6694	709																								
24198	10784	24811	7988	6562	7814	11802	18241	1332	2999	7764	18216	666	24103																			
2481	12444	2610	1302	14740	22181	25608	1452	583	25199	2858	8878	12872																				
13291	2668	10857	22242	7652	21043	18615	10642	21314	24861	6041	10812	3144	4894	11273	6434	7709	16111	25035	5364	2451	19571											
20060	22648	21412	12681	21454	4156	6481	6483	8240	12444	2610	5605	25743	12154	15129	4614	583	8878	9194	3307													
